
5★
passion,Gotta Go,310,1600,893,352,,,empathy,Genius Composer, 1600,352,893,310,,,stamina,Hobi's Great Adventure,352,931,1600,298,,,wisdom,Found It,320,1056,310,1488,,,wisdom,Bright-Eyed,298,320,931,1760,,,passion,Mr. Curiosity,320,1600,960,320,,,empathy,Naive,1552,320,893,352
stamina,Deep in Thought,960,320,1600,320,,,passion,Blonde with Beanie,298,1600,310,1056,,,empathy,Troublemaker,1552,352,298,960,,,wisdom,Red Thread,310,320,893,1760,,,empathy,Cotton Fragrance,1488,352,931,320,,,stamina,Let's See,960,352,1552,298,,,passion,Board Game Time,176,1862,160,893
wisdom,Undercover,1280,352,310,1190,,,wisdom,SUGA Rabbit,298,1408,310,1280,,,passion,Choices and Concentration,320,1408,298,1242,,,stamina,Clear Skies After Rain,1408,310,1280,298,,,stamina,Secret Recipe,320,320,1280,1280,,,wisdom,Bumper Tomato Crop,621,960,595,1056,,,passion,Spring Breeze,931,1056,595,640
wisdom,Alone Time,310,960,298,1760,,,stamina,Sleepy Velvet,960,320,1280,640,,,wisdom,Hip Hop Hope,595,960,310,1408,,,wisdom,Hideout,621,1056,298,1280,,,wisdom,Adorable Pâtissier,621,640,893,1056,,,passion,House Party,176,1862,960,149,,,wisdom,5 Minutes 'Til the Match,640,1056,298,1242
wisdom,A Sudden Jolt,1056,310,320,1488,,,stamina,Longing,320,1056,1552,298,,,empathy,First Greeting,1488,1056,310,320,,,passion,Birthday Party,320,1760,893,310,,,wisdom,Shy Pâtissier,621,960,298,1408,,,empathy,A Break,1242,352,298,1280,,,empathy,Head-to-Head,1920,960,160,160
empathy,Afternoon Break, 1862,1056,149,160,,,wisdom,Pearly Smile,155,160,893,2112,,,stamina,Golden Afternoon,960,320,1600,320,,,empathy,Brimming with Confidence,1488,960,310,352,,,empathy,Lovely Pâtissier,1760,310,960,298,,,wisdom,A Silent Night,320,352,893,1552,,,stamina,Early Spring,320,352,1552,893
passion,Man of the Year,160,2112,893,155,,,empathy,Snowflake Boy,1408,310,1280,298,,,passion,Dazzling Hope,160,2112,155,893,,,wisdom,Junior Detective,149,1056,155,1920,,,wisdom,Growing Pains,155,176,893,1920,,,stamina,Late-Night Feeling,960,640,1280,320,,,passion,A Novelist Reading,931,1280,595,352

3★
empathy,This is Serious,770,679,700,651,,,stamina,Do Not Approach,1120,260,1232,272,,,empathy,Rock Paper Scissors,1232,260,560,815,,,passion,Peeking,521,924,815,560,,,stamina,Whipped Cream,280,781,1540,272,,,wisdom,Passionate Singing,272,280,781,1540,,,stamina,Bunny Boy,560,280,1120,840
wisdom,Bright Laughter,136,840,130,1848,,,empathy,Feverish,770,651,700,679,,,passion,Ho Ho,272,1232,781,560,,,empathy,Love Love Love,1232,272,560,781,,,wisdom,Shy Confession,136,154,781,1680,,,wisdom,The Sweetest Taste,136,154,781,1680,,,empathy,Drinking You In,770,651,700,679
empathy,Blowing Kisses,1120,280,560,840,,,empathy,Min SUGA Genius,1120,280,560,840,,,stamina,Last Night's Dream,560,272,1232,781,,,passion,Don't Worry,272,1232,781,560,,,empathy,Straight to the Heart,1232,272,280,1042,,,empathy,So Fatal,1232,260,560,815,,,empathy,To the Next Class,1232,272,560,781
passion,"Heart, Pew",272,1232,781,560,,,passion,Found this Heart,280,1120,840,560,,,wisdom,I'll Protect You,560,924,272,1042,,,stamina,Golden Ratio,560,272,1232,781,,,empathy,"1, 2, Freeze!",1232,272,560,781,,,passion,You Know How I Feel,260,1232,815,560,,,passion,Ah Ppaiting,272,1232,781,560
"stamina",Look Here,560,272,1232,781,,,stamina,Meowmeow Punch,560,272,1232,781,,,stamina,"Forward, Forward",840,521,924,543,,,wisdom,Love Bullet,543,924,260,1120,,,passion,Finger Hearts,280,1232,815,521,,,stamina,About to Explode,560,272,1232,781,,,stamina,Dependable,560,272,1232,781
wisdom,Only You,616,815,280,1042,,,wisdom,Current Mood: Amazing,521,840,272,1232,,,wisdom,Confession,308,272,840,1302,,,wisdom,To Go See You,840,616,521,815,,,stamina,Watching You,560,272,1232,781,,,wisdom,Sentimental,560,840,280,1120,,,wisdom,All Prepared,560,924,272,1042
empathy,So Cozy,924,815,560,521,,,passion,Aflutter,840,924,543,521,,,empathy,Casual Day,1680,140,140,840,,,empathy,Only the Best Days Ahead,1540,260,840,272,,,wisdom,Charming... Or Not?,560,924,272,1042,,,wisdom,Anniversary,280,924,272,1302,,,stamina,Don't Even Know,770,651,700,679
passion,Like,521,924,543,840,,,stamina,Shooting Guard,280,781,1540,272,,,passion,Smile Hoya,260,1232,272,1120,,,wisdom,Stretching,770,651,700,679,,,empathy,Here Here,770,651,700,679,,,passion,Basketball Genius,770,679,700,651,,,stamina,Doggo,560,781,924,543
stamina,Free Time,1120,260,1232,272,,,wisdom,Red Beanie,140,924,136,1562,,,empathy,Dandy Guy,770,679,700,651,,,passion,Kim Namjun or RM?,130,1848,136,840,,,empathy,Cupid,840,840,560,560,,,passion,I Need a Nap,560,840,560,840,,,empathy,Pure Heart,1540,272,840,260
empathy,Handsome Glasses Guy,770,651,700,679,,,passion,Respectable Sunbae,770,679,700,651,,,passion,A Rap Just for You,840,924,543,521,,,passion,Of Course,815,924,521,560,,,passion,Vitamin Fairy,140,1848,781,136,,,stamina,Time for Work,168,130,1848,815,,,wisdom,Roly-Poly,136,140,781,1848
passion,Thinking of You,815,1540,260,280,,,passion,Time for Contemplation,840,924,521,543,,,stamina,Hearing out your Worries,280,840,1400,280,,,stamina,Forgive Me,280,260,1540,815,,,passion,Roar,815,924,521,560,,,passion,V-sual,840,924,543,521,,,passion,Deep in Thought,781,924,543,560
stamina,Surprise!,168,140,1680,840,,,stamina,A Wish,280,280,1400,840,,,wisdom,Hopeful Steps,136,840,130,1848,,,wisdom,Satisfied Smile,840,154,130,1630,,,stamina,Radiant Smile,840,280,1400,280,,,stamina,One Look and My Heart Races,280,840,1120,560,,,wisdom,All Eyes on Me,840,308,272,1302
wisdom,Man with a Passion,1232,272,280,1042,,,wisdom,Fall Fella,781,140,136,1848,,,empathy,Good Job,770,651,700,679,,,empathy,Different Thoughts,1232,272,1120,260,,,passion,I Have Something to Say,781,1540,272,280,,,empathy,Let's Talk,1848,130,840,136,,,passion,Serious Expression,815,1848,130,140
"passion",Seok Jin Over Flowers,781,924,543,560,,,passion,Artist,543,924,781,560,,,stamina,Hippity Hoppity,560,924,781,543,,,stamina,Pass,840,272,1540,260,,,wisdom,Shaky,272,280,1042,1232,,,passion,"Oh No, Oh No",560,924,781,543,,,passion,Cutie Pie,781,1540,272,280
wisdom,Look at the Sky,781,280,272,1540,,,empathy,Hooray!,770,679,700,651,,,wisdom,Dance Time,781,280,543,1232,,,empathy,Warming Up,1232,781,280,543,,,passion,Gym Time,815,1232,260,560,,,empathy,Greetings,1232,272,1120,260,,,empathy,Hope It Reaches You,1120,840,280,560
empathy,Freestyle,1232,781,280,543,,,passion,Charging Complete,781,1232,272,560,,,stamina,Another Great Day,280,280,1400,840,,,stamina,Cutesy,140,781,1848,136,,,stamina,Welcome,140,840,1680,140,,,wisdom,Dodgeball King,815,280,521,1232,,,stamina,You Over There,840,521,924,543
"stamina","Bang!",280,815,1540,260,,,wisdom,Precious Me,280,308,781,1358,,,wisdom,Awww!,840,140,140,1680,,,wisdom,Inspired,840,616,543,781,,,empathy,Gonna Start Making Trouble,792,466,720,446,,,stamina,Teary Teary,168,136,1848,781,,,wisdom,"One, Two",136,840,130,1848
2★
empathy,Pouty,720,720,480,480,,,passion,Nice to See You,466,792,446,720,,,passion,Let's Think,670,792,466,480,,,wisdom,Surprised,446,720,466,792,,,wisdom,Long Time No See,698,480,446,792,,,stamina,Glum,480,446,792,698,,,empathy,2nd Grade,792,670,480,466
passion,Pit-A-Pat,480,792,466,670,,,wisdom,I'm Warning You,670,480,466,792,,,stamina,What The?,480,466,792,670,,,stamina,Dimples,720,446,792,466,,,empathy,Are You Watching,720,480,720,480,,,wisdom,Let's Go,558,600,582,660,,,wisdom,You're Toast,698,480,446,792
stamina,Bzzt,480,698,792,446,,,stamina,Hmph,480,466,792,670,,,wisdom,Dazed,466,720,446,792,,,passion,Embarrassing,466,792,446,720,,,passion,Flour Fairy,446,792,698,480,,,empathy,Chocobun,792,670,480,466,,,stamina,Can't Trust Me?,480,446,792,698
wisdom,Compliments Please,558,600,582,660,,,passion,That's Annoying,480,792,670,466,,,empathy,Shiot Mouth,660,582,600,558,,,empathy,Bingo!,660,558,600,582,,,stamina,Feeling Proud,600,558,660,582,,,passion,Mischief Maker,480,720,720,480,,,passion,Come at Me,480,792,670,466
"empathy",Sorry,792,698,480,446,,,empathy,"Oh, Dear",660,558,600,582,,,stamina,Let's Walk,720,466,792,446,,,wisdom,Brain Fully Activated,720,480,480,720,,,empathy,Gonna Start Making Trouble,792,466,720,446,,,passion,Tangjinjaem,480,792,698,446,,,empathy,Shh... Quiet,660,582,600,558
1★
passion,Adorable,600,660,388,372,,,wisdom,Hello,400,372,582,660,,,stamina,So at Ease,480,582,660,372,,,stamina,I'm Angry,500,485,550,465,,,wisdom,Thumbs Up,465,500,485,550,,,stamina,Confused,400,558,660,388,,,empathy,Pit-A-Pat,660,582,400,372
wisdom,Been Waiting,582,400,372,660,,,stamina,I'm Tired,500,485,550,465,,,passion,This and That,465,550,485,500,,,passion,Love It,372,660,581,400,,,empathy,Nervous,660,582,400,372,,,stamina,Racing Heart,500,485,550,465,,,stamina,All Eyes on Me,600,388,660,372
empathy,I Say No,550,485,500,465,,,passion,Leave It to Me,600,660,372,388,,,stamina,Aha,600,372,660,388,,,wisdom,You're the Best,558,400,388,660,,,passion,Impossible to Replace,400,660,372,582,,,passion,V for Victory,582,660,372,400,,,empathy,Innocent Oath,660,388,600,372
wisdom,So Curious,388,400,558,660,,,empathy,Arms Crossed,660,388,600,372,,,empathy,Bashful,660,372,600,388,,,empathy,Let's Go,600,400,600,400,,,empathy,Who Knows,660,372,400,582,,,wisdom,Nice to Meet You,400,400,600,600,,,wisdom,Jeon Mayfly,485,500,465,550
empathy,Oh My God,660,372,400,582,,,passion,Snap,388,660,558,400,,,stamina,Confident!,400,600,600,400,,,wisdom,Hawkeye,388,600,372,660,,,stamina,Hug Me,400,372,660,582,,,passion,Please,372,660,582,400,,,empathy,An Odd Kid,660,372,400,582
